"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.141229553E2,2.718937683E1,-3.970363235E1,1.188970947E1
1.141328923E2,2.718937683E1,-3.970363235E1,1.188970947E1
1.141428293E2,2.726026917E1,-4.005075073E1,1.019848633E1
1.141527653E2,2.726026917E1,-4.005075073E1,1.019848633E1
1.141627023E2,2.733976746E1,-4.043365860E1,8.263122559E0
1.141726393E2,2.733976746E1,-4.043365860E1,8.263122559E0
1.141825753E2,2.742616272E1,-4.073960495E1,6.314453125E0
1.141925123E2,2.742616272E1,-4.073960495E1,6.314453125E0
1.142024493E2,2.764299011E1,-4.079457474E1,5.479125977E0
1.142123863E2,2.764299011E1,-4.079457474E1,5.479125977E0
1.142223223E2,2.791419983E1,-4.062940216E1,5.423950195E0
1.142322593E2,2.791419983E1,-4.062940216E1,5.423950195E0
1.142421963E2,2.826478577E1,-4.034850311E1,5.597045898E0
1.142521323E2,2.826478577E1,-4.034850311E1,5.597045898E0
1.142620693E2,2.846131897E1,-4.011627579E1,6.214233398E0
