"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.962247583E0,-4.728666687E-1,2.794089661E0,3.116519165E-1
2.972183583E0,-1.841171265E-1,3.296594696E0,1.209185486E0
2.982119583E0,5.179229736E-1,3.723806305E0,1.158590698E0
2.992055583E0,-6.334826660E-1,7.045399017E0,1.249152374E0
3.001991583E0,-1.482951187E1,5.236770081E1,9.638456726E-1
3.011927583E0,-1.693832657E1,6.518449814E1,-3.036435699E0
3.021863583E0,-5.250481567E0,3.290547272E1,-2.721939697E0
3.031798583E0,-3.198847961E-1,1.065903442E1,-1.834884338E0
3.041734583E0,-7.960446167E-1,3.086431732E0,-1.373543701E0
3.051670583E0,-5.604345703E-1,1.662891998E0,-6.300398254E-1
3.061606583E0,-2.993774414E-3,3.848197632E0,-3.487747192E-1
3.071542583E0,-2.615061951E-1,9.258247375E0,-1.075663147E0
3.081478583E0,-8.831634521E-2,1.326571381E1,-1.575922852E0
3.091414583E0,1.015787659E0,1.370325394E1,-1.410666504E0
3.101350583E0,1.844614105E0,1.264540375E1,-1.075812836E0
3.111286583E0,1.521436157E0,1.099194214E1,-8.439450073E-1
3.121221583E0,8.943901062E-1,1.024439667E1,-7.361691284E-1
3.131157583E0,1.118025055E0,1.061023590E1,-5.873785400E-1
3.141093583E0,1.388811951E0,1.094404175E1,-4.646337891E-1
3.151029583E0,1.581161957E0,1.089299789E1,-3.159928894E-1
3.160965583E0,1.759441223E0,1.075827805E1,-7.229965210E-2
3.170901583E0,1.821861420E0,1.074690170E1,1.431024170E-1
3.180837583E0,1.920057220E0,1.074974579E1,2.661465454E-1
3.190773583E0,1.903142395E0,1.064391586E1,3.118016052E-1
3.200709583E0,1.801054688E0,1.050290909E1,3.032693481E-1
3.210644583E0,1.615440674E0,1.033480865E1,2.095642090E-1
3.220580583E0,1.289268951E0,9.991273041E0,-1.646575928E-3
3.230516583E0,7.104226685E-1,9.853709106E0,-4.185296631E-1
3.240452583E0,1.212478638E-2,9.746382294E0,-9.958790588E-1
3.250388583E0,-4.882846069E-1,9.470505981E0,-1.393601990E0
3.260324583E0,-7.547305298E-1,9.263336792E0,-1.723515930E0
3.270260583E0,-7.191046143E-1,8.937913513E0,-2.029928741E0
3.280196958E0,-4.706213379E-1,8.679999847E0,-2.201921082E0
3.290132958E0,-3.960763550E-1,8.814270630E0,-2.323468323E0
3.300068958E0,-2.429447937E-1,8.678353271E0,-2.477348328E0
3.310003958E0,-7.424560547E-2,8.515941010E0,-2.543810120E0
3.319939958E0,5.882766724E-2,8.659342804E0,-2.614762573E0
3.329875958E0,2.350112915E-1,8.681496735E0,-2.567161560E0
3.339811958E0,7.972421265E-1,8.539891205E0,-2.426005096E0
3.349747958E0,2.160307617E0,7.931705933E0,-2.313888245E0
3.359683958E0,2.577190704E0,8.016878815E0,-2.374512177E0
3.369619958E0,1.163829803E0,8.951684875E0,-2.537972260E0
3.379555958E0,6.101312256E-1,9.001231842E0,-2.485281830E0
3.389491958E0,6.526428223E-1,8.850644989E0,-2.346969452E0
3.399427958E0,4.165837097E-1,8.908125458E0,-2.550845490E0
3.409362958E0,3.585044861E-1,8.489595795E0,-2.456092529E0
3.419298958E0,5.248086548E-1,8.642727356E0,-2.732866974E0
3.429234958E0,1.016386414E-1,9.462273102E0,-3.086880798E0
3.439170958E0,5.176235962E-1,9.012608185E0,-3.155288544E0
